Algorithm,Video Path,FPS,Avg Frame Processing Time,Avg CPU Load,Pearson Coefficient,RMSE
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006464132345027733,4.968756952169077,0.17265795206971682,11.467789851651133

Eulerian Video Magnification,AIR_converted/S01/videos/004_720p.mp4,15.0,0.055164631269665,2.1103656840934373,0.08140839030271704,13.9191704227127
Optical Flow,AIR_converted/S01/videos/004_720p.mp4,15.0,0.04693179984511735,2.0295189098998887,0.20785030053053644,11.288932633336072
Optical Flow,AIR_converted/S04/videos/004_720p.mp4,10.0,0.06252464945606875,3.111613105175292,nan,6.0
Pixel Intensity Changes,AIR_converted/S04/videos/004_720p.mp4,10.0,0.008990502317680142,4.163772954924875,nan,3.207134902949093
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.007183955959536475,5.132960233592881,0.16723393072963874,11.531677754634613
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006428430555129343,4.825980255839823,0.09948355848659098,11.814898930363052
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006488958906146125,4.507988042269188,0.22452510468485445,11.721252283866297
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.0068043805866008075,5.2445703559510575,-0.1735030527911437,12.121830534626532
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006391015546075229,5.079094827586208,0.2341344883162515,11.273954089685066
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006601760066523568,5.3293798665183525,0.3497375698011494,11.175775551775974
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006759288181054579,4.76198553948832,0.026518576139191036,12.000000000000004
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.007311724184352378,5.065809232480534,0.18244154928588485,11.531677754634613
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006657036578695023,4.263396829810901,-0.20065498363016832,12.684555931670353
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006890672995595964,5.403809788654059,-0.14487020661700759,12.152097324649569
Eulerian Video Magnification,AIR_converted/S01/videos/004_720p.mp4,15.0,0.059213944616519305,2.215183537263626,0.03662212077986328,14.656635036317562
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.0068128273404877765,4.80051446051168,-0.1650739111285175,12.36189008730511
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.007313873929627348,4.639731646273637,-0.16915954415954423,12.742344640558724
Optical Flow,AIR_converted/S01/videos/004_720p.mp4,15.0,0.04690437799566182,2.356792269187987,0.36530276839218123,11.256997823576235
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006887860770220221,4.977690489432703,0.16557724268416615,11.435712054965432
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.007205598478985576,5.221315350389321,0.04480470948472971,11.907809133814123
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006814841301210465,4.3650097330367075,-0.08176560976250559,12.36189008730511
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.007126098745259083,4.761220800889877,-0.16199182277221919,12.391570538400828
Pixel Intensity Changes,AIR_converted/S03/videos/004_720p.mp4,10.0,0.00891251024377147,6.360320037105752,0.19943529299054766,6.205773755703371
Pixel Intensity Changes,AIR_converted/S03/videos/004_720p.mp4,10.0,0.009171177151030645,5.981505102040816,0.22075997822014215,6.469966392206303
Pixel Intensity Changes,AIR_converted/S03/videos/004_720p.mp4,10.0,0.00820248202180597,5.5554151205936915,0.055736405113195386,5.01161441750734
Eulerian Video Magnification,AIR_converted/S03/videos/004_720p.mp4,10.0,0.06052161457366094,2.7203269944341373,-0.3580574370197166,17.751446868693485
Eulerian Video Magnification,AIR_converted/S03/videos/004_720p.mp4,10.0,0.06216693676469056,2.081516697588126,0.09085135251589956,6.054742342450135
Eulerian Video Magnification,AIR_converted/S03/videos/004_720p.mp4,10.0,0.05970737398887167,2.540480055658627,-0.02871604919081112,6.057499203663796
Eulerian Video Magnification,AIR_converted/S03/videos/004_720p.mp4,10.0,0.05966654071560154,2.31456400742115,0.12820512820512822,5.878454166780085
Eulerian Video Magnification,AIR_converted/S03/videos/004_720p.mp4,10.0,0.06441003935677665,2.466535250463822,-0.06985172246759784,6.004902413256796
Eulerian Video Magnification,AIR_converted/S01/videos/004_720p.mp4,15.0,0.057926899333949615,2.214564794215795,0.3818301351254319,10.440828789662891
Pixel Intensity Changes,AIR_converted/S05/videos/004_720p.mp4,15.0,0.010100610794559602,7.361707452725251,0.1796455353810747,5.876275371772323
Pixel Intensity Changes,AIR_converted/S05/videos/004_720p.mp4,15.0,0.01051591394740562,7.742470800889877,0.5899844770570806,4.453844933748542
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006945488052453029,4.979609288097888,-0.017777922234242446,12.828539611796373
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.0072219711257034995,5.151411290322581,-0.18997079395447142,13.361534801245627
Eulerian Video Magnification,AIR_converted/S01/videos/004_720p.mp4,15.0,0.055578713422357304,2.035963570634038,0.3848171554241219,10.50585582526828
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006686032149895147,5.21359149054505,-0.0658304632309802,12.21240587037858
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.006634748287009981,5.371607341490545,0.14305360470044354,11.68987002598788
Pixel Intensity Changes,AIR_converted/S01/videos/004_720p.mp4,15.0,0.0072944668164110025,5.397476362625139,-0.008854858479510423,12.030573297958462
Optical Flow,AIR_converted/S01/videos/004_720p.mp4,15.0,0.04691472652889332,2.294792825361513,0.16091422145311246,11.818629362155331
Optical Flow,AIR_converted/S01/videos/004_720p.mp4,15.0,0.047079319948614376,2.7682285873192436,0.3557133369466674,11.288932633336072
Optical Flow,AIR_converted/S01/videos/004_720p.mp4,15.0,0.04700196996016285,2.4989224137931036,-0.15874483433068334,12.267028980156528
Optical Flow,AIR_converted/S01/videos/004_720p.mp4,15.0,0.046946212632770136,2.4634037819799777,-0.09491579957524987,5.366563145999495
